0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.27014,0.26486,0.57831,0.50769,0.43915,0.29348,0.22449,0.3587,0.64972,0.51515,0.29323,0.42714,0.45745,0.48634,0.40909,0.35079,0.5,0.64583,0.37991,0.15116,0.34579,0.46667,0.40299,0.32323,0.36275,0.2987,0.27094,0.39227,0.54696,0.45355,0.43564,0.37143,0.2887,0.27675,0.38835,0.27966,0.32995,0.29858,0.34884,0.2541,0.51412,0.35417,0.59538,0.44385,0.44928,0.36449,0.25738,0.27928,0.3133,0.30579,0.31897,0.29258,0.32353,0.28283,0.23858,0.59322,0.37931,0.41414,0.52601,0.4185,0.26277,0.19266,0.29949,0.39901,0.33043,0.25843,0.28631,0.32057,0.26471,0.22917,0.27273,0.3304,0.35622,0.30855,0.2454,0.21495,0.17857,0.1697,0.18211,0.56725,0.39487,0.33702,0.41573,0.42541,0.43434,0.40933,0.20792,0.39665,0.34222,0.25185,0.28755,0.35211,0.29897,0.29,0.29353,0.33023,0.34167,0.3494,0.26087,0.21053
-0.31833,-0.40884,-0.22909,-0.2446,-0.088,-0.31833,-0.43258,-0.42197,-0.27273,-0.29836,-0.20588,-0.15018,-0.17361,-0.14286,-0.3218,-0.34641,-0.38788,-0.23022,-0.24138,-0.24232,-0.18116,-0.1145,-0.1157,0.057627,-0.12755,-0.049057,-0.078652,-0.22433,-0.33793,-0.26545,-0.2446,-0.19708,-0.21254,-0.22337,-0.15412,-0.05098,-0.098592,-0.1871,-0.15358,-0.065637,-0.23188,-0.24638,-0.27915,-0.29825,-0.23134,-0.22535,-0.19557,-0.26712,-0.14062,-0.17188,-0.18728,-0.22794,-0.26644,-0.1954,-0.15953,-0.15538,-0.20152,-0.20879,-0.21898,-0.20741,-0.31447,-0.30719,-0.31126,-0.17188,-0.27393,-0.26429,-0.28369,-0.21642,-0.19084,-0.14729,-0.07874,-0.20472,-0.35065,-0.31126,-0.27397,-0.14394,-0.053498,0.07563,0.045614,-0.15748,-0.12351,-0.14729,-0.18045,-0.15953,-0.24014,-0.23881,-0.25795,-0.3481,-0.2695,-0.24188,-0.23509,-0.31629,-0.23571,-0.26897,-0.29123,-0.32013,-0.25185,-0.3945,-0.28328,-0.23704
0.067227,0.030075,0.066246,0.04375,-0.011765,-0.017301,-0.061453,0.0061728,0.054795,0.045977,0.012422,-0.059783,0.047887,-0.0025575,0.011494,-0.010676,0.010676,0.031847,0.022989,0.019718,-0.068354,-0.040404,-0.0047847,0.020173,-0.020942,-0.021792,-0.043269,0.0075188,0.015038,0.0029674,-0.03125,0.044872,0.0,-0.06383,-0.017045,-0.005291,-0.031325,-0.0054054,-0.01171,0.069638,-0.034188,-0.02682,0.024194,-0.0029155,-0.021277,0.055866,-0.0060976,0.038806,0.026178,-0.030471,0.013477,-0.032746,-0.038647,-0.028278,0.015957,-0.05303,-0.053061,0.012552,0.028571,-0.0056818,0.034921,0.10032,-0.088,0.0,0.029412,-0.0025974,-0.0052083,-0.0026954,-0.0024331,-0.069409,-0.02381,-0.089552,-0.085158,-0.023758,-0.081365,0.0022075,-0.026596,0.016129,-0.024523,-0.041667,-0.044177,-0.019455,-0.0095847,-0.02507,-0.021164,0.013333,-0.027174,0.003003,-0.013624,0.030812,-0.13357,-0.17105,-0.13816,-0.16226,-0.19048,-0.18021,-0.16898,-0.18405,-0.16614,-0.17073
0.10482,0.043257,0.10511,0.036585,-0.045576,-0.097143,-0.037559,0.013193,0.04023,0.040404,-0.022857,-0.094059,0.057534,0.0025707,-0.099476,-0.016092,-0.058559,-0.041284,0.058824,-0.023364,-0.03125,-0.037406,-0.028322,0.010471,-0.064516,-0.024272,-0.03632,-0.024609,-0.028698,0.025057,-0.12535,-0.039801,-0.048458,-0.11642,-0.03,-0.020408,-0.06867,-0.015544,-0.025057,0.049451,-0.064378,-0.060134,0.0,-0.030023,-0.021176,0.039409,0.12536,0.017442,0.0072639,-0.044554,-0.0072993,-0.046005,-0.04,-0.02439,0.027174,-0.080645,-0.04918,0.20134,-0.040872,-0.040404,0.037975,0.25283,0.02,-0.023041,0.059829,-0.018779,-0.019608,-0.021164,0.0072639,-0.024272,-0.026128,-0.071253,-0.059701,-0.026667,-0.025287,-0.020316,-0.0051282,-0.009901,-0.023622,-0.044084,-0.031111,0.045576,0.054645,-0.042254,-0.040541,-0.017115,-0.03163,-0.050761,-0.032419,0.125,-0.024631,-0.036675,0.025641,-0.036827,-0.01,0.038889,-0.041758,-0.033333,-0.05036,-0.038835
0.090439,0.020173,0.034483,0.0081744,-0.018373,-0.084746,-0.054466,0.0077121,0.068657,0.017937,-0.026455,-0.075117,0.048843,-0.0046948,-0.089286,-0.029289,-0.055901,-0.055901,0.055556,0.0045045,-0.037037,-0.030023,-0.034765,-0.014019,-0.055556,-0.062635,-0.11005,-0.029289,-0.032787,0.010616,-0.11416,-0.041284,-0.036876,-0.092838,-0.025641,-0.023355,-0.049383,-0.12836,-0.089588,-0.13467,-0.056604,-0.060543,-0.011038,-0.028322,-0.036247,0.027273,0.10811,0.010417,0.0022272,-0.047404,0.09434,-0.19723,-0.18021,-0.16944,-0.15044,-0.073986,-0.066955,0.13483,-0.025381,-0.042697,0.018692,0.2,0.013953,-0.023965,0.081081,-0.013333,-0.0024331,-0.096953,-0.061611,-0.034268,-0.047847,-0.0035088,0.0099668,-0.14689,-0.14783,-0.15152,-0.15987,-0.023077,-0.15951,-0.04661,-0.041152,0.047146,0.056701,-0.037199,-0.041494,-0.015945,-0.027027,-0.0553,-0.060086,0.062176,-0.036717,-0.037363,0.02381,0.0,0.039216,0.0030769,0.021277,-0.068493,-0.15888,-0.16352
0.16292,0.12281,0.11976,0.078534,0.076087,0.011338,0.036866,0.11509,0.14114,0.1,0.038462,0.034188,0.084833,0.079137,0.01919,0.060086,0.036585,0.036585,0.11055,0.1068,0.08,0.051919,0.060345,0.055046,0.054622,0.048673,0.040541,0.077951,0.064302,0.089325,0.010799,0.039443,0.10417,-0.012723,0.059091,0.072072,0.03719,0.071594,0.071926,0.10649,0.051546,0.028926,0.068493,0.063636,0.27076,0.10185,0.15344,0.078125,0.096019,0.045752,0.12861,0.047619,0.074157,0.060403,0.098795,0.009009,0.010846,0.14815,0.02551,0.05618,0.1138,0.18625,0.1068,0.069444,0.13043,0.080831,0.093525,0.065421,0.073059,0.092732,0.072072,0.032967,0.04,0.062222,0.060606,0.069474,0.066362,0.060674,0.067961,0.044211,0.047817,0.14512,0.11222,0.049774,0.067245,0.078652,0.039666,0.035129,0.073059,0.10526,0.058315,0.06988,0.079518,0.035714,0.07767,0.085575,0.061571,0.050328,0.042316,0.052402
0.0095238,0.0030769,0.029851,0.0065359,-0.050505,-0.10151,-0.04059,-0.035503,-0.084656,0.017668,-0.041199,-0.082508,-0.070175,-0.14644,0.025,-0.021097,-0.017241,-0.13333,-0.05303,-0.029787,-0.017699,-0.1234,-0.19008,-0.25954,-0.26394,-0.2607,-0.17447,0.0072464,-0.02008,-0.11111,-0.13396,-0.02521,-0.048458,-0.082251,-0.15481,-0.20968,-0.30147,-0.27059,-0.23077,-0.18672,-0.12162,-0.088608,-0.088472,-0.12791,-0.056,-0.054054,-0.085202,-0.16379,-0.16735,-0.2567,-0.25984,-0.24,-0.184,-0.072581,-0.2381,-0.079545,-0.12583,-0.099656,-0.10084,-0.0837,-0.10917,-0.1358,-0.15918,-0.20816,-0.19492,-0.13675,-0.12821,-0.20134,-0.15385,-0.19685,-0.23137,-0.31618,-0.27007,-0.3101,-0.39159,-0.3677,-0.38614,-0.37294,-0.40453,-0.17931,-0.098214,-0.175,-0.2,-0.090909,-0.16935,-0.20158,-0.2,-0.15538,-0.14043,-0.082251,-0.11462,-0.20332,-0.18876,-0.23922,-0.28777,-0.33333,-0.29412,-0.27547,-0.32857,-0.33333
0.28788,0.040573,0.06812,0.014151,0.007335,-0.049383,-0.11737,0.017903,0.071066,0.0023529,-0.24516,-0.075949,0.044554,0.036855,-0.032389,-0.049107,-0.089744,-0.1039,0.036496,-0.10526,-0.021021,-0.014737,-0.017241,-0.052411,-0.026157,-0.036559,-0.045356,-0.0042918,0.0044643,-0.16711,-0.062893,-0.22581,-0.063973,0.0041841,-0.021459,-0.0065076,-0.028226,-0.027027,0.017857,0.053922,-0.15347,-0.092077,-0.20735,-0.20556,-0.058824,0.035857,-0.081081,-0.02008,0.0078329,-0.028226,0.032864,-0.014553,-0.049793,-0.15385,-0.034483,-0.076364,-0.091398,-0.061224,-0.083665,-0.031008,-0.16239,-0.10656,-0.020896,-0.11392,-0.1942,-0.19789,-0.10096,-0.12159,-0.046729,-0.13973,-0.075718,-0.078652,-0.033333,-0.023474,-0.034908,-0.026157,-0.017391,-0.036585,0.0023529,-0.11504,0.021583,0.01847,0.013889,-0.085714,-0.14932,-0.095238,-0.032432,-0.042129,-0.02963,-0.015625,-0.048232,-0.050746,-0.047273,-0.03937,0.012987,-0.009434,-0.034908,-0.028926,-0.033333,-0.038697
0.042654,0.0093458,-0.026316,-0.093458,-0.175,0.030837,-0.086207,-0.14286,-0.017699,-0.10132,-0.1746,-0.15419,-0.1215,-0.15315,-0.070866,-0.15745,-0.13122,-0.042017,-0.15044,-0.1215,-0.11712,-0.10407,-0.078261,-0.039648,-0.1179,-0.25984,-0.25097,-0.093333,-0.19831,-0.20168,-0.098214,-0.095023,-0.084444,-0.020576,0.0042194,-0.0044444,-0.03139,-0.12664,-0.18828,-0.27206,-0.035088,-0.077586,-0.15837,-0.18421,-0.09417,-0.043478,-0.013216,0.053498,0.035831,-0.0077519,0.031963,-0.058296,-0.19841,-0.18615,-0.16216,-0.022422,-0.092437,-0.15353,-0.16183,-0.073394,-0.038627,-0.026786,0.0082645,-0.013514,0.018315,-0.019481,-0.078189,-0.16379,-0.15315,-0.087866,-0.1073,-0.044776,-0.024911,-0.033457,-0.090909,-0.076923,-0.07113,-0.065502,-0.080169,0.025641,-0.050691,-0.041475,-0.03139,-0.012987,0.073593,0.0,0.0,-0.038627,-0.023256,-0.036437,-0.079365,-0.1588,-0.16379,-0.079498,-0.18033,-0.192,-0.1,-0.047244,-0.068826,-0.14516
-0.20988,-0.2,-0.22901,-0.16735,-0.11837,-0.19672,-0.17749,-0.24265,-0.20968,-0.19512,-0.18876,-0.15385,-0.10204,-0.020921,-0.18143,-0.16596,-0.18548,-0.16239,-0.19512,-0.14035,-0.15152,-0.14768,-0.062762,-0.021645,-0.017544,-0.041667,-0.022222,-0.17886,-0.20155,-0.19216,-0.15612,-0.13913,-0.125,-0.13043,-0.097345,-0.054054,-0.022222,-0.047619,-0.068376,-0.055794,-0.26199,-0.18367,-0.15745,-0.15481,-0.19522,-0.15447,-0.11211,-0.093333,-0.065502,-0.039648,-0.033898,-0.082645,-0.088608,-0.098712,-0.085202,-0.23077,-0.23372,-0.20158,-0.18548,-0.13393,-0.18219,-0.17131,-0.057269,-0.048035,-0.042802,-0.063492,-0.084746,-0.076233,-0.088496,-0.10526,-0.10714,-0.088496,-0.076271,-0.068826,-0.048458,-0.054054,-0.04,-0.076336,-0.016,-0.2,-0.21116,-0.20472,-0.14894,-0.125,-0.1342,-0.11504,-0.0625,-0.02521,-0.041322,-0.053097,-0.057269,-0.091703,-0.11404,-0.1234,-0.12971,-0.13253,-0.082969,-0.087719,-0.052174,-0.061947
